,st_code,st_name,交易所產業分類,TEJ產業分類,歆凱分組,近一日漲跌％,近一週漲跌％,近一月漲跌％
241,1319,東陽,M2200 汽車工業,M15D 汽車組件,5.0,-0.44,1.22,4.58
242,1338,廣華-KY,M2200 汽車工業,M15D 汽車組件,ML無分組,0.22,0.99,-0.54
243,1339,昭輝,M2200 汽車工業,M15D 汽車組件,ML無分組,-0.44,0.55,7.04
244,1512,瑞利,M2200 汽車工業,M15D 汽車組件,ML無分組,0.0,-8.5,133.51
245,1521,大億,M2200 汽車工業,M15D 汽車組件,ML無分組,-2.12,6.38,3.29
246,1522,堤維西,M2200 汽車工業,M15D 汽車組件,5.0,-1.18,-0.68,3.35
247,1524,耿鼎,M2200 汽車工業,M15D 汽車組件,5.0,-2.85,-4.66,3.64
248,1525,江申,M2200 汽車工業,M15D 汽車組件,ML無分組,-0.31,-0.46,5.9
249,1533,車王電,M2200 汽車工業,M15D 汽車組件,25.0,-0.78,-1.17,-1.94
250,1536,和大,M2200 汽車工業,M15D 汽車組件,ML無分組,-1.39,0.14,-1.66
251,1568,倉佑,M2200 汽車工業,M15D 汽車組件,5.0,-2.07,-2.47,-1.04
252,1587,吉茂,M2200 汽車工業,M15D 汽車組件,ML無分組,-0.65,-1.5,2.44
253,2115,六暉-KY,M2200 汽車工業,M15D 汽車組件,ML無分組,-0.61,3.16,5.5
254,2228,劍麟,M2200 汽車工業,M15D 汽車組件,ML無分組,-1.31,-0.96,0.85
255,2231,為升,M2200 汽車工業,M15D 汽車組件,ML無分組,-0.82,10.33,14.87
256,2233,宇隆,M2200 汽車工業,M15D 汽車組件,ML無分組,-0.47,-2.31,1.93
257,2236,百達-KY,M2200 汽車工業,M15D 汽車組件,ML無分組,-1.42,-0.78,-8.71
258,2239,英利-KY,M2200 汽車工業,M15D 汽車組件,ML無分組,-2.55,4.46,14.87
259,2241,艾姆勒,M2200 汽車工業,M15D 汽車組件,ML無分組,4.25,5.56,12.09
260,2243,宏旭-KY,M2200 汽車工業,M15D 汽車組件,ML無分組,-0.67,-5.52,12.94
261,2250,IKKA-KY,M2200 汽車工業,M22A 汽車製造,ML無分組,-0.14,-1.1,-2.44
262,2497,怡利電,M2200 汽車工業,M15D 汽車組件,25.0,-2.34,-2.34,-1.31
263,4551,智伸科,M2200 汽車工業,M15D 汽車組件,ML無分組,-2.01,0.34,-2.01
264,4557,永新-KY,M2200 汽車工業,M15D 汽車組件,ML無分組,-2.28,-4.89,-8.15
265,4581,光隆精密-KY,M2200 汽車工業,M15D 汽車組件,ML無分組,-0.7,2.64,4.15
266,6605,帝寶,M2200 汽車工業,M15D 汽車組件,5.0,0.11,0.22,4.69
267,3552,同致,M2331 其他電子業,M15D 汽車組件,25.0,-2.23,-5.25,0.33
268,4554,橙的,M2331 其他電子業,M15D 汽車組件,ML無分組,-1.98,1.87,3.82
269,6279,胡連,M2328 電子零組件,M15D 汽車組件,ML無分組,-1.74,-3.41,-7.82
270,5276,達輝-KY,M9900 其他,M15D 汽車組件,ML無分組,-3.45,-4.94,2.67
271,9942,茂順,M9900 其他,M15D 汽車組件,ML無分組,0.0,-1.29,-3.77
